id,player,team,opponent,position,salary,ownership
24305359,Josh Allen,BUF,BAL,QB,8400,21.1
24305438,Christian McCaffrey,CAR,ARI,RB,8700,16.5
24305716,Stefon Diggs,BUF,BAL,WR,8400,16.4
24305361,Jalen Hurts,PHI,JAC,QB,8200,15.8
24305446,Austin Ekeler,LAC,HOU,RB,7700,15.6
24305436,Jonathan Taylor,IND,TEN,RB,8800,14.2
24305464,Jamaal Williams,DET,SEA,RB,6100,13.6
24305722,A.J. Brown,PHI,JAC,WR,7400,13.0
24305720,Amon-Ra St. Brown,DET,SEA,WR,7700,12.6
24305363,Justin Herbert,LAC,HOU,QB,7100,12.2
24306172,Mark Andrews,BAL,BUF,TE,7100,11.3
24305442,Saquon Barkley,NYG,CHI,RB,8000,11.0
24305726,Mike Williams,LAC,HOU,WR,7000,10.7
24305360,Lamar Jackson,BAL,BUF,QB,8300,10.5
24305718,Davante Adams,LV,DEN,WR,8300,10.0
24305470,Miles Sanders,PHI,JAC,RB,6000,9.4
24305754,DeVonta Smith,PHI,JAC,WR,5800,8.7
24305448,Aaron Jones,GB,NE,RB,7500,8.6
24305440,Derrick Henry,TEN,IND,RB,8300,8.3
24305724,Michael Pittman Jr.,IND,TEN,WR,7200,8.1
24305476,AJ Dillon,GB,NE,RB,6000,7.9
24305472,Kareem Hunt,CLE,ATL,RB,6000,7.9
24305748,Drake London,ATL,CLE,WR,6100,7.7
24305744,Amari Cooper,CLE,ATL,WR,6300,7.6
24306176,Kyle Pitts,ATL,CLE,TE,5000,7.5
24305486,Josh Jacobs,LV,DEN,RB,5500,7.3
24306438,Carolina Panthers,CAR,ARI,D,2900,7.3
24306445,New York Jets,NYJ,PIT,D,2600,7.3
24305738,Keenan Allen,LAC,HOU,WR,6500,7.2
24306451,New England Patriots,NE,GB,D,2300,7.0
24305780,Isaiah McKenzie,BUF,BAL,WR,5100,7.0
24306447,Tennessee Titans,TEN,IND,D,2500,6.9
24306444,Washington Commanders,WAS,DAL,D,2600,6.9
24305784,DJ Chark Jr.,DET,SEA,WR,5000,6.7
24305770,Hunter Renfrow,LV,DEN,WR,5300,6.7
24306443,Chicago Bears,CHI,NYG,D,2700,6.6
24306178,Zach Ertz,ARI,CAR,TE,4700,6.4
24306180,Dallas Goedert,PHI,JAC,TE,4500,6.4
24306435,New York Giants,NYG,CHI,D,3100,6.4
24305478,Devin Singletary,BUF,BAL,RB,5900,6.3
24305732,CeeDee Lamb,DAL,WAS,WR,6700,6.3
24305750,Diontae Johnson,PIT,NYJ,WR,6000,6.3
24305752,Tyler Lockett,SEA,DET,WR,5900,6.2
24305756,Brandin Cooks,HOU,LAC,WR,5800,6.2
24305772,D.J. Moore,CAR,ARI,WR,5300,6.2
24305524,Craig Reynolds,DET,SEA,RB,4700,6.1
24306174,Darren Waller,LV,DEN,TE,5600,6.0
24305456,Cordarrelle Patterson,ATL,CLE,RB,6500,6.0
24306440,Arizona Cardinals,ARI,CAR,D,2800,5.9
24305808,Romeo Doubs,GB,NE,WR,4500,5.8
24305494,J.K. Dobbins,BAL,BUF,RB,5300,5.5
24306436,Indianapolis Colts,IND,TEN,D,3000,5.4
24306182,Pat Freiermuth,PIT,NYJ,TE,4200,5.4
24306184,T.J. Hockenson,DET,SEA,TE,4100,5.4
24305760,Rashod Bateman,BAL,BUF,WR,5600,5.3
24305372,Marcus Mariota,ATL,CLE,QB,5600,5.3
24305842,Richie James Jr.,NYG,CHI,WR,4000,5.3
24306449,Houston Texans,HOU,LAC,D,2400,5.3
24305804,Josh Reynolds,DET,SEA,WR,4600,5.1
24305728,Marquise Brown,ARI,CAR,WR,6900,5.0
24305730,DK Metcalf,SEA,DET,WR,6800,5.0
24305734,Christian Kirk,JAC,PHI,WR,6600,5.0
24305742,Courtland Sutton,DEN,LV,WR,6400,5.0
24305758,Curtis Samuel,WAS,DAL,WR,5700,5.0
24305762,Jerry Jeudy,DEN,LV,WR,5500,5.0
24305776,Robert Woods,TEN,IND,WR,5200,5.0
24305786,Greg Dortch,ARI,CAR,WR,5000,5.0
24305444,Nick Chubb,CLE,ATL,RB,7900,4.8
24305362,Kyler Murray,ARI,CAR,QB,7600,4.7
24305818,Zay Jones,JAC,PHI,WR,4200,4.7
24305862,Christian Watson,GB,NE,WR,3700,4.7
24305840,Donovan Peoples-Jones,CLE,ATL,WR,4000,4.6
24305746,Allen Lazard,GB,NE,WR,6200,4.6
24306437,Las Vegas Raiders,LV,DEN,D,2900,4.3
24305366,Aaron Rodgers,GB,NE,QB,6300,4.3
