Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Zack Moss,IND,RB,13,TEN,9,11,13.7,2.98,42,DraftKings,4600
2,Tyreek Hill,MIA,WR,13,WAS,32,31,25.56,2.66,26,DraftKings,9600
3,Christian McCaffrey,SF,RB,13,PHI,27,1,20.38,2.26,24,DraftKings,9000
4,Rachaad White,TB,RB,13,CAR,16,31,14.43,2.29,22,DraftKings,6300
5,Atlanta Falcons,ATL,DST,13,NYJ,null,null,8.2,2.41,20,DraftKings,3400
6,Michael Pittman Jr.,IND,WR,13,TEN,9,18,15.1,2.13,19,DraftKings,7100
7,Javonte Williams,DEN,RB,13,HOU,22,17,12.99,2.28,17,DraftKings,5700
8,Jaylen Waddle,MIA,WR,13,WAS,32,31,15.24,2.01,15,DraftKings,7600
9,Russell Wilson,DEN,QB,13,HOU,22,25,17.29,3.03,14,DraftKings,5700
9,Breece Hall,NYJ,RB,13,ATL,15,4,12.99,2.03,14,DraftKings,6400
9,Courtland Sutton,DEN,WR,13,HOU,22,13,11.91,2.21,14,DraftKings,5400
9,George Pickens,PIT,WR,13,ARI,29,21,10.67,2.22,14,DraftKings,4800
13,Jahmyr Gibbs,DET,RB,13,NO,6,13,15.43,2.3,13,DraftKings,6700
13,Rhamondre Stevenson,NE,RB,13,LAC,31,23,14.16,2.36,13,DraftKings,6000
13,Josh Downs,IND,WR,13,TEN,9,18,11.92,2.34,13,DraftKings,5100
13,David Njoku,CLE,TE,13,LAR,17,30,10.69,2.61,13,DraftKings,4100
17,Tua Tagovailoa,MIA,QB,13,WAS,32,32,20.39,2.58,12,DraftKings,7900
17,Nico Collins,HOU,WR,13,DEN,30,6,13.54,1.99,12,DraftKings,6800
17,DeAndre Hopkins,TEN,WR,13,IND,24,16,12.79,2.1,12,DraftKings,6100
17,Terry McLaurin,WAS,WR,13,MIA,11,17,12.92,2.35,12,DraftKings,5500
17,Diontae Johnson,PIT,WR,13,ARI,29,21,11.84,2.37,12,DraftKings,5000
17,Elijah Moore,CLE,WR,13,LAR,17,14,8.58,2.45,12,DraftKings,3500
23,Keenan Allen,LAC,WR,13,NE,12,24,18.85,2.09,11,DraftKings,9000
