,,,,,Games,,Passing,,,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
1,Tom Brady,NWE,42,QB,13,13,316,522,3437,5,37,0,29,6.00%,97,20.00%,356,73.40%
2,Jameis Winston,TAM,25,QB,13,13,314,512,4115,9,18,2,19,3.90%,99,20.10%,351,71.30%
3,Dak Prescott,DAL,26,QB,13,13,325,496,4122,5,13,1,27,5.60%,70,14.50%,379,78.60%
4,Jared Goff,LAR,25,QB,13,13,305,484,3712,15,7,1,23,4.80%,98,20.60%,341,71.60%
5,Carson Wentz,PHI,27,QB,13,13,304,484,3165,13,7,1,24,5.00%,88,18.50%,339,71.20%
6,Matt Ryan,ATL,34,QB,12,12,321,481,3559,13,22,1,13,2.80%,66,14.40%,349,76.20%
7,Philip Rivers,LAC,38,QB,13,13,304,467,3748,11,12,3,22,4.90%,71,15.70%,345,76.30%
8,Kyler Murray,ARI,22,QB,13,13,293,457,3060,15,19,3,17,3.90%,79,18.20%,319,73.30%
9,Aaron Rodgers,GNB,36,QB,13,13,284,441,3260,2,25,1,15,3.60%,82,19.80%,322,77.60%
10,Deshaun Watson,HOU,24,QB,13,13,295,436,3425,3,14,2,20,4.80%,69,16.40%,327,77.90%
11,Baker Mayfield,CLE,24,QB,13,13,255,431,3109,17,15,1,25,6.00%,75,18.10%,291,70.10%
12,Russell Wilson,SEA,31,QB,13,13,280,419,3422,7,15,2,14,3.50%,73,18.20%,308,76.60%
13,Andy Dalton,CIN,32,QB,10,10,248,413,2757,10,12,6,19,4.80%,77,19.50%,286,72.40%
14,Kyle Allen,CAR,23,QB,11,11,253,407,2750,11,23,0,24,6.30%,65,16.90%,296,77.10%
15,Josh Allen,BUF,23,QB,13,13,242,405,2737,7,24,3,26,6.90%,74,19.60%,279,73.80%
16,Derek Carr,OAK,28,QB,13,13,284,401,3106,7,20,1,16,4.20%,46,12.10%,308,81.10%
17,Jimmy Garoppolo,SFO,28,QB,13,13,273,393,3245,6,6,2,23,6.00%,52,13.50%,313,81.30%
18,Patrick Mahomes,KAN,24,QB,11,11,253,392,3266,5,16,0,20,5.30%,75,19.90%,287,76.30%
19,Mitchell Trubisky,CHI,25,QB,12,12,253,392,2440,6,5,1,19,4.90%,65,16.80%,297,76.90%
