,,,,,Games,,Passing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
1,Tom Brady,NWE,42,QB,13,13,316,522,3437,4009,7.7,1932,6.1,3.7,1505,4.8
2,Jameis Winston,TAM,25,QB,13,13,314,512,4115,5158,10.1,2610,8.3,5.1,1505,4.8
3,Dak Prescott,DAL,26,QB,13,13,325,496,4122,4651,9.4,2568,7.9,5.2,1554,4.8
4,Jared Goff,LAR,25,QB,13,13,305,484,3712,3840,7.9,1891,6.2,3.9,1821,6
5,Carson Wentz,PHI,27,QB,13,13,304,484,3165,4116,8.5,1883,6.2,3.9,1282,4.2
6,Matt Ryan,ATL,34,QB,12,12,321,481,3559,4092,8.5,2279,7.1,4.7,1280,4
7,Philip Rivers,LAC,38,QB,13,13,304,467,3748,4147,8.9,2022,6.7,4.3,1726,5.7
8,Kyler Murray,ARI,22,QB,13,13,293,457,3060,3266,7.1,1559,5.3,3.4,1501,5.1
9,Aaron Rodgers,GNB,36,QB,13,13,284,441,3260,3699,8.4,1665,5.9,3.8,1595,5.6
10,Deshaun Watson,HOU,24,QB,13,13,295,436,3425,3913,9,1910,6.5,4.4,1515,5.1
11,Baker Mayfield,CLE,24,QB,13,13,255,431,3109,3447,8,1524,6,3.5,1585,6.2
12,Russell Wilson,SEA,31,QB,13,13,280,419,3422,3981,9.5,2019,7.2,4.8,1403,5
13,Andy Dalton,CIN,32,QB,10,10,248,413,2757,2809,6.8,1373,5.5,3.3,1384,5.6
14,Kyle Allen,CAR,23,QB,11,11,253,407,2750,3425,8.4,1425,5.6,3.5,1325,5.2
15,Josh Allen,BUF,23,QB,13,13,242,405,2737,3648,9,1507,6.2,3.7,1230,5.1
16,Derek Carr,OAK,28,QB,13,13,284,401,3106,2685,6.7,1529,5.4,3.8,1577,5.6
17,Jimmy Garoppolo,SFO,28,QB,13,13,273,393,3245,2591,6.6,1505,5.5,3.8,1740,6.4
18,Patrick Mahomes,KAN,24,QB,11,11,253,392,3266,3546,9,1542,6.1,3.9,1724,6.8
