,,,,,Games,,Passing,,,RPO,,,,,,PlayAction,
Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt,PassYds
1,Tom Brady,NWE,42,QB,12,12,297,486,3268,16,100,16,100,0,0,94,769
2,Jameis Winston,TAM,25,QB,12,12,281,467,3659,9,82,8,80,1,2,76,705
3,Jared Goff,LAR,25,QB,12,12,283,453,3419,0,0,0,0,0,0,122,1002
4,Dak Prescott,DAL,26,QB,12,12,298,447,3788,43,349,37,308,6,41,109,1031
5,Matt Ryan,ATL,34,QB,11,11,301,447,3246,30,218,30,218,0,0,82,612
6,Philip Rivers,LAC,38,QB,12,12,288,445,3434,32,358,32,358,0,0,70,627
7,Carson Wentz,PHI,27,QB,12,12,271,434,2840,60,342,49,291,7,51,104,602
8,Kyler Murray,ARI,22,QB,12,12,273,427,2866,86,641,54,434,28,207,110,752
9,Aaron Rodgers,GNB,36,QB,12,12,266,413,3065,23,73,22,73,0,0,92,718
10,Baker Mayfield,CLE,24,QB,12,12,244,407,2917,48,386,46,387,1,-1,110,920
11,Deshaun Watson,HOU,24,QB,12,12,267,386,3133,73,542,52,455,19,87,90,642
12,Russell Wilson,SEA,31,QB,12,12,258,383,3177,43,323,31,294,8,29,98,715
13,Andy Dalton,CIN,32,QB,9,9,226,375,2495,22,95,19,89,3,6,81,464
14,Daniel Jones,NYG,22,QB,11,10,228,370,2374,29,221,21,193,5,28,77,483
15,Derek Carr,OAK,28,QB,12,12,259,367,2843,9,36,9,36,0,0,62,482
16,Josh Allen,BUF,23,QB,12,12,225,366,2591,31,193,24,168,7,25,81,603
17,Kyle Allen,CAR,23,QB,10,10,225,366,2457,45,378,42,374,1,4,90,645
18,Mitchell Trubisky,CHI,25,QB,11,11,230,361,2196,24,121,19,107,5,14,74,502
19,Kirk Cousins,MIN,31,QB,12,12,248,358,3032,0,0,0,0,0,0,103,983
20,Jimmy Garoppolo,SFO,28,QB,12,12,247,358,2896,17,242,16,242,0,0,92,950
21,Patrick Mahomes,KAN,24,QB,10,10,227,352,2983,53,384,48,359,4,25,94,682
22,Gardner Minshew,JAX,23,QB,10,8,204,334,2432,17,193,15,193,1,0,50,526
23,Ryan Fitzpatrick,MIA,37,QB,11,9,208,331,2266,12,57,10,57,0,0,42,323
24,Jacoby Brissett,IND,27,QB,11,11,209,325,2245,47,279,41,262,5,17,88,616
25,Lamar Jackson,BAL,22,QB,12,12,214,322,2532,133,1038,59,468,70,570,120,656
26,Sam Darnold,NYJ,22,QB,9,9,196,311,2154,27,208,25,202,2,6,62,503
27,Matthew Stafford,DET,31,QB,8,8,187,291,2499,14,90,8,52,5,38,72,633
28,Mason Rudolph,PIT,24,QB,9,8,162,263,1636,14,89,13,88,1,1,42,165
29,Joe Flacco,DEN,34,QB,8,8,171,262,1822,4,16,4,16,0,0,41,287
30,Drew Brees,NOR,40,QB,7,7,177,240,1791,1,15,1,15,0,0,25,188
31,Teddy Bridgewater,NOR,27,qb,7,5,132,195,1370,0,0,0,0,0,0,34,360
32,Case Keenum,WAS,31,QB,8,7,126,188,1343,12,48,12,48,0,0,38,364
33,Ryan Tannehill,TEN,31,QB,8,6,128,176,1602,6,74,4,69,2,5,45,534
34,Marcus Mariota,TEN,26,QB,6,6,94,159,1179,18,141,13,123,5,18,46,449
35,Dwayne Haskins,WAS,22,qb,6,4,72,133,801,4,9,3,9,0,0,32,158
36,Nick Foles,JAX,30,qb,4,4,77,117,736,6,36,5,23,1,13,15,92
37,Josh Rosen,MIA,22,qb,6,3,58,109,567,11,26,10,26,0,0,20,40
38,Jeff Driskel,DET,26,qb,3,3,62,105,685,8,40,0,0,8,40,21,44
39,Matt Moore,KAN,35,qb,5,2,59,91,659,14,137,13,137,0,0,33,343
40,Eli Manning,NYG,38,qb,2,2,56,89,556,10,79,10,79,0,0,23,151
41,Cam Newton,CAR,30,qb,2,2,50,89,572,15,115,12,115,2,0,17,146
42,Ryan Finley,CIN,25,qb,3,3,41,87,474,3,1,2,0,1,1,16,131
43,Brandon Allen,DEN,27,qb,3,3,39,84,515,8,25,7,14,1,11,25,273
44,Luke Falk,NYJ,25,qb,3,2,47,73,416,3,22,3,22,0,0,16,113
45,Matt Schaub,ATL,38,qb,5,1,50,67,580,2,0,2,0,0,0,13,143
46,Brian Hoyer,IND,34,qb,3,1,35,65,372,3,30,3,30,0,0,10,80
47,Chase Daniel,CHI,33,qb,3,1,45,64,435,4,26,4,26,0,0,15,82
48,Ben Roethlisberger,PIT,37,qb,2,2,35,62,351,0,0,0,0,0,0,1,8
49,Devlin Hodges,PIT,23,qb,4,2,41,61,530,7,41,5,42,2,-1,12,72
50,David Blough,DET,24,qb,1,1,22,38,280,0,0,0,0,0,0,10,87
51,Drew Lock,DEN,23,qb,1,1,18,28,134,0,0,0,0,0,0,7,10
52,Colt McCoy,WAS,33,qb,1,1,18,27,122,0,0,0,0,0,0,6,40
53,Matt Barkley,BUF,29,,1,0,9,16,127,0,0,0,0,0,0,0,0
54,Robert Griffin,BAL,29,,4,0,12,16,129,6,37,5,28,0,9,4,13
55,Mike Glennon,OAK,30,,2,0,6,10,56,0,0,0,0,0,0,0,0
56,Trevor Siemian,NYJ,28,qb,1,1,3,6,3,2,1,2,1,0,0,4,1
57,Josh McCown,PHI,40,,3,0,3,5,24,1,13,1,13,0,0,1,13
58,Jaylen Samuels,PIT,23,rb,10,3,4,5,35,12,47,1,0,10,47,5,0
59,Tim Boyle,GNB,25,,3,0,3,4,15,1,7,1,7,0,0,2,12
60,Jarrett Stidham,NWE,23,,3,0,2,4,14,0,0,0,0,0,0,0,0
61,Garrett Gilbert,CLE,28,,4,0,0,3,0,0,0,0,0,0,0,0,0
62,Taysom Hill,NOR,29,qb,12,2,2,3,35,6,16,0,0,5,16,5,0
63,Odell Beckham,CLE,27,WR,12,12,1,2,20,15,0,0,0,0,0,36,0
64,Blake Bortles,LAR,27,,3,0,1,2,3,1,1,0,0,1,1,3,0
65,Julian Edelman,NWE,33,WR,12,10,2,2,47,6,15,1,15,0,0,34,15
66,Johnny Hekker,LAR,29,P,12,0,1,2,23,0,0,0,0,0,0,0,0
67,DeAndre Hopkins,HOU,27,WR,12,12,1,2,6,15,6,1,6,0,0,18,0
68,Kenjon Barner,ATL,29,,10,0,1,1,3,0,0,0,0,0,0,0,0
69,John Brown,BUF,29,WR,12,12,1,1,28,8,0,0,0,0,0,23,28
70,Randall Cobb,DAL,29,wr,11,4,0,1,0,7,0,0,0,0,0,17,0
71,Dustin Colquitt,KAN,37,P,12,0,0,1,0,0,0,0,0,0,0,0,0
72,Jake Elliott,PHI,24,K,12,0,0,1,0,0,0,0,0,0,0,0,0
73,Matt Haack,MIA,25,P,12,0,1,1,1,0,0,0,0,0,0,0,0
74,Brett Hundley,ARI,26,,1,0,0,1,0,1,0,0,0,0,0,0,0
75,Alvin Kamara,NOR,24,RB,10,7,1,1,13,6,37,0,0,6,37,10,0
76,Brett Kern,TEN,33,P,12,0,1,1,11,0,0,0,0,0,0,0,0
77,Sam Koch,BAL,37,P,12,0,1,1,-2,0,0,0,0,0,0,0,0
78,Andy Lee,ARI,37,P,11,0,1,1,26,0,0,0,0,0,0,0,0
79,Christian McCaffrey,CAR,23,RB,12,12,0,1,0,28,68,0,0,21,68,17,0
80,A.J. McCarron,HOU,29,,1,0,0,1,0,0,0,0,0,0,0,0,0
81,Zach Pascal,IND,25,WR,12,10,0,1,0,5,0,0,0,0,0,15,0
82,Dante Pettis,SFO,24,wr,11,4,1,1,16,2,0,0,0,0,0,1,0
83,Bilal Powell,NYJ,31,,10,0,0,1,0,1,0,0,0,0,0,2,0
84,Steven Sims,WAS,22,,12,0,0,1,0,2,4,0,0,1,4,3,0
85,Courtland Sutton,DEN,24,WR,12,10,1,1,38,1,0,0,0,0,0,10,0
86,Tyrod Taylor,LAC,30,,6,0,1,1,7,1,2,0,0,1,2,0,0
