,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Dalvin Cook,MIN,24,RB,10,10,203,991,50,448,2.2,543,2.7,18,11.3
2,Chris Carson,SEA,25,RB,10,10,200,853,50,266,1.3,587,2.9,22,9.1
3,Derrick Henry,TEN,25,RB,10,10,187,832,41,242,1.3,590,3.2,17,11
4,Christian McCaffrey,CAR,23,RB,9,9,185,989,36,623,3.4,366,2,12,15.4
5,Ezekiel Elliott,DAL,24,RB,9,9,178,788,43,442,2.5,346,1.9,6,29.7
6,Marlon Mack,IND,23,RB,9,7,178,753,47,394,2.2,359,2,6,29.7
7,Nick Chubb,CLE,24,RB,9,9,174,919,34,424,2.4,495,2.8,19,9.2
8,Leonard Fournette,JAX,24,RB,9,9,174,831,36,212,1.2,619,3.6,12,14.5
9,Josh Jacobs,OAK,21,RB,9,9,168,811,39,329,2,482,2.9,16,10.5
10,Carlos Hyde,HOU,29,RB,9,8,149,704,37,345,2.3,359,2.4,19,7.8
11,Sony Michel,NWE,24,RB,9,7,144,482,33,294,2,188,1.3,4,36
12,Le'Veon Bell,NYJ,27,RB,9,9,143,449,18,167,1.2,282,2,11,13
13,Aaron Jones,GNB,25,RB,10,10,135,589,33,348,2.6,241,1.8,20,6.8
14,Joe Mixon,CIN,23,RB,9,9,131,434,23,196,1.5,238,1.8,7,18.7
15,David Montgomery,CHI,22,RB,9,6,129,466,26,288,2.2,178,1.4,16,8.1
16,Mark Ingram,BAL,30,RB,9,9,123,619,33,290,2.4,329,2.7,9,13.7
17,Jordan Howard,PHI,25,rb,9,4,119,525,28,242,2,283,2.4,4,29.8
18,Phillip Lindsay,DEN,25,RB,9,9,118,584,26,340,2.9,244,2.1,17,6.9
19,Adrian Peterson,WAS,34,RB,8,8,115,491,19,185,1.6,306,2.7,4,28.8
20,Frank Gore,BUF,36,RB,9,7,111,449,24,177,1.6,272,2.5,7,15.9
21,Matt Breida,SFO,24,RB,9,5,109,542,20,345,3.2,197,1.8,5,21.8
22,Devonta Freeman,ATL,27,RB,9,9,107,371,21,170,1.6,201,1.9,4,26.8
23,Lamar Jackson,BAL,22,QB,9,9,106,702,37,528,5,174,1.6,1,106
24,Todd Gurley,LAR,25,RB,8,8,104,428,25,227,2.2,201,1.9,10,10.4
