Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
1,Michael Thomas*,NOR,26,WR,14,13,159,133,1552,78,1030,7.7,522,3.9,5,26.6,5,3.1
2,DeAndre Hopkins*,HOU,27,WR,14,14,141,99,1142,67,752,7.6,390,3.9,9,11,4,2.8
3,Christian McCaffrey*,CAR,23,RB,14,14,117,94,814,49,-4,0,818,8.7,11,8.5,6,5.1
4,Julian Edelman,NWE,33,WR,14,12,140,92,1019,50,711,7.7,308,3.3,3,30.7,11,7.9
5,Keenan Allen*,LAC,27,WR,14,14,129,90,1046,53,724,8,322,3.6,4,22.5,5,3.9
6,Chris Godwin*,TAM,23,WR,14,14,121,86,1333,63,759,8.8,574,6.7,8,10.8,1,0.8
7,Travis Kelce*,KAN,30,TE,14,14,122,86,1131,59,766,8.9,365,4.2,5,17.2,7,5.7
8,D.J. Moore,CAR,22,WR,14,14,133,86,1174,63,782,9.1,392,4.6,6,14.3,4,3
9,Zach Ertz*,PHI,29,TE,14,14,129,84,888,48,633,7.5,255,3,4,21,5,3.9
10,Cooper Kupp,LAR,26,WR,14,12,120,83,1031,44,538,6.5,493,5.9,7,11.9,3,2.5
11,Allen Robinson,CHI,26,WR,14,13,130,83,1023,54,760,9.2,263,3.2,5,16.6,6,4.6
12,Julio Jones*,ATL,30,WR,13,13,129,82,1150,63,842,10.3,308,3.8,5,16.4,3,2.3
13,Darren Waller,OAK,27,TE,14,14,103,80,1001,48,540,6.8,461,5.8,8,10,4,3.9
14,Austin Ekeler,LAC,24,RB,14,7,91,78,892,38,65,0.8,827,10.6,11,7.1,1,1.1
15,Tyler Boyd,CIN,25,WR,14,13,126,76,859,40,458,6,401,5.3,2,38,3,2.4
16,Tyler Lockett,SEA,27,WR,14,14,96,75,994,48,710,9.5,284,3.8,0,,2,2.1
